coordsystype,point_name,measurement_id,measMode,date,time,val1,val2,val3,std1,std2,std3,stdTotal
7,MasterUp,1,0,2025-09-15,15:54:14.811,-2.8402280599313827,1.6678079622908815,9928.352440561106,1.8206760971102411e-06,9.769303111232686e-07,0.0012454361118415021,0.02043421664521177
0,MDUp,1,0,2025-09-15,16:07:10.528,-3534.4447622318253,-1318.41549400247,-841.7887480723141,0.0014622424546975367,0.0016988531991641359,0.004063244046690204,0.004640496457448652
0,MDDown,1,0,2025-09-15,16:08:26.408,-2717.67012055136,-1122.880711657026,-841.064419104686,0.0016930613760303501,0.002994411564445824,0.0027688834077311446,0.004415843381043026
0,MUUp,1,0,2025-09-15,16:31:39.283,-9284.502105237189,-2815.7788147711794,-959.3594994446634,0.003560512947324785,0.009145696477920065,0.022434329101622026,0.024487142314982197
0,MUDown,1,0,2025-09-15,16:32:24.811,-9168.21077848233,-2787.454856107633,-959.7048289244585,0.0028706918217816556,0.008205352744374284,0.014603787990331355,0.016995273132897892
0,MDDown,1,0,2025-09-15,16:40:59.159,-3052.7247405618077,-1372.6606166519769,-961.3486541572429,0.0016700171822208161,0.001335343745056493,0.005506725403560261,0.0059072942178792975
0,MDUp,1,0,2025-09-15,16:41:34.514,-3169.3315783758985,-1401.641625629159,-962.1071645650895,0.0014301251783325954,0.0027446547600048317,0.002540904442272971,0.004004320561853226
0,MDLeft,1,0,2025-09-15,16:44:13.067,-2546.924314436844,-1037.420577725772,-962.7898452222261,0.0016875117954944184,0.0015492858238792995,0.0047060335430610745,0.005233997930112518
0,MDRight,1,0,2025-09-15,16:45:30.997,-2575.895917332243,-921.4127768924202,-963.2399970706056,0.0005898365612473455,0.0009452719023295436,0.0002373850521986569,0.0011392092877628617
0,MULeft,1,0,2025-09-15,16:48:28.918,-9170.77155458125,-2940.1678262351434,-959.3789269766721,0.013475320093306743,0.01325310334061209,0.016086565465970072,0.024819480016006795
0,MURight,1,0,2025-09-15,16:49:09.634,-9201.38005735497,-2825.215307699889,-959.6270863324293,0.002172371563650397,0.0029073838414578053,0.01872663193323497,0.019075083815673854
